"","production_countries.name","budget_mean","maturecontent_sum","notmature_sum","income_level","RELIGION_IMPORT","HOMOSEXUALITY","GENDER_EQUALITY"
"838","Philippines",11036.5712250712,110,592,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"839","Poland",166440.397212544,34,253,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"840","Russia",834350.628899836,74,535,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"841","Slovakia",183506.340425532,5,42,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"842","South Africa",936963.884615385,29,153,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"843","South Korea",377732.70977918,181,770,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"844","Spain",519514.463392857,150,970,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"845","Sweden",200435.246987952,90,408,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"846","Tunisia",714.285714285714,1,13,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"847","Turkey",239944.548295455,68,284,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"848","Ukraine",289352.47,15,85,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"849","United Kingdom",1496293.43582704,533,2381,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"850","United States of America",2223976.84860624,3254,8728,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"851","Argentina",135584.590643275,70,443,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"852","Australia",1139590.29596413,140,529,"High income","Very important","Homosexuality should be accepted by society","Very important"
"853","Brazil",368178.274867122,89,1228,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"854","Bulgaria",1940223.24691358,9,72,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"855","Canada",1576406.07352234,565,1516,"High income","Very important","Homosexuality should be accepted by society","Very important"
"856","Czech Republic",442268.618243243,24,272,"High income","Very important","Homosexuality should be accepted by society","Very important"
"857","France",595447.064901156,213,2468,"High income","Very important","Homosexuality should be accepted by society","Very important"
"858","Germany",187527.304303626,329,2622,"High income","Very important","Homosexuality should be accepted by society","Very important"
"859","Greece",106367.875647668,13,180,"High income","Very important","Homosexuality should be accepted by society","Very important"
"860","Hungary",735550.237179487,17,139,"High income","Very important","Homosexuality should be accepted by society","Very important"
"861","India",741780.788833859,691,1530,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"862","Indonesia",102773.857855362,98,303,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"863","Israel",63675.1828571429,10,165,"High income","Very important","Homosexuality should be accepted by society","Very important"
"864","Italy",201833.538461538,101,692,"High income","Very important","Homosexuality should be accepted by society","Very important"
"865","Japan",299509.9872579,438,1524,"High income","Very important","Homosexuality should be accepted by society","Very important"
"866","Kenya",0.764705882352941,1,16,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"867","Lebanon",0,1,48,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"868","Lithuania",23594.1176470588,6,45,"High income","Very important","Homosexuality should be accepted by society","Very important"
"869","Mexico",358732.433198381,63,431,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"870","Netherlands",69708.4337152209,37,574,"High income","Very important","Homosexuality should be accepted by society","Very important"
"871","Nigeria",21600.04,6,44,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"872","Philippines",11036.5712250712,110,592,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"873","Poland",166440.397212544,34,253,"High income","Very important","Homosexuality should be accepted by society","Very important"
"874","Russia",834350.628899836,74,535,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"875","Slovakia",183506.340425532,5,42,"High income","Very important","Homosexuality should be accepted by society","Very important"
"876","South Africa",936963.884615385,29,153,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"877","South Korea",377732.70977918,181,770,"High income","Very important","Homosexuality should be accepted by society","Very important"
"878","Spain",519514.463392857,150,970,"High income","Very important","Homosexuality should be accepted by society","Very important"
"879","Sweden",200435.246987952,90,408,"High income","Very important","Homosexuality should be accepted by society","Very important"
"880","Tunisia",714.285714285714,1,13,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"881","Turkey",239944.548295455,68,284,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"882","Ukraine",289352.47,15,85,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"883","United Kingdom",1496293.43582704,533,2381,"High income","Very important","Homosexuality should be accepted by society","Very important"
"884","United States of America",2223976.84860624,3254,8728,"High income","Very important","Homosexuality should be accepted by society","Very important"
"885","Argentina",135584.590643275,70,443,"Upper middle income","Not too important","Homosexuality should not be accepted by society","Very important"
"886","Australia",1139590.29596413,140,529,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"887","Brazil",368178.274867122,89,1228,"Upper middle income","Not too important","Homosexuality should not be accepted by society","Very important"
"888","Bulgaria",1940223.24691358,9,72,"Upper middle income","Not too important","Homosexuality should not be accepted by society","Very important"
"889","Canada",1576406.07352234,565,1516,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"890","Czech Republic",442268.618243243,24,272,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"891","France",595447.064901156,213,2468,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"892","Germany",187527.304303626,329,2622,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"893","Greece",106367.875647668,13,180,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"894","Hungary",735550.237179487,17,139,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"895","India",741780.788833859,691,1530,"Lower middle income","Not too important","Homosexuality should not be accepted by society","Very important"
"896","Indonesia",102773.857855362,98,303,"Lower middle income","Not too important","Homosexuality should not be accepted by society","Very important"
"897","Israel",63675.1828571429,10,165,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"898","Italy",201833.538461538,101,692,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"899","Japan",299509.9872579,438,1524,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"900","Kenya",0.764705882352941,1,16,"Lower middle income","Not too important","Homosexuality should not be accepted by society","Very important"
"901","Lebanon",0,1,48,"Upper middle income","Not too important","Homosexuality should not be accepted by society","Very important"
"902","Lithuania",23594.1176470588,6,45,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"903","Mexico",358732.433198381,63,431,"Upper middle income","Not too important","Homosexuality should not be accepted by society","Very important"
"904","Netherlands",69708.4337152209,37,574,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"905","Nigeria",21600.04,6,44,"Lower middle income","Not too important","Homosexuality should not be accepted by society","Very important"
"906","Philippines",11036.5712250712,110,592,"Lower middle income","Not too important","Homosexuality should not be accepted by society","Very important"
"907","Poland",166440.397212544,34,253,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"908","Russia",834350.628899836,74,535,"Upper middle income","Not too important","Homosexuality should not be accepted by society","Very important"
"909","Slovakia",183506.340425532,5,42,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"910","South Africa",936963.884615385,29,153,"Upper middle income","Not too important","Homosexuality should not be accepted by society","Very important"
"911","South Korea",377732.70977918,181,770,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"912","Spain",519514.463392857,150,970,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"913","Sweden",200435.246987952,90,408,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"914","Tunisia",714.285714285714,1,13,"Lower middle income","Not too important","Homosexuality should not be accepted by society","Very important"
"915","Turkey",239944.548295455,68,284,"Upper middle income","Not too important","Homosexuality should not be accepted by society","Very important"
"916","Ukraine",289352.47,15,85,"Lower middle income","Not too important","Homosexuality should not be accepted by society","Very important"
"917","United Kingdom",1496293.43582704,533,2381,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"918","United States of America",2223976.84860624,3254,8728,"High income","Not too important","Homosexuality should not be accepted by society","Very important"
"919","Argentina",135584.590643275,70,443,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"920","Australia",1139590.29596413,140,529,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"921","Brazil",368178.274867122,89,1228,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"922","Bulgaria",1940223.24691358,9,72,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"923","Canada",1576406.07352234,565,1516,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"924","Czech Republic",442268.618243243,24,272,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"925","France",595447.064901156,213,2468,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"926","Germany",187527.304303626,329,2622,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"927","Greece",106367.875647668,13,180,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"928","Hungary",735550.237179487,17,139,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"929","India",741780.788833859,691,1530,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"930","Indonesia",102773.857855362,98,303,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"931","Israel",63675.1828571429,10,165,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"932","Italy",201833.538461538,101,692,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"933","Japan",299509.9872579,438,1524,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"934","Kenya",0.764705882352941,1,16,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"935","Lebanon",0,1,48,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"936","Lithuania",23594.1176470588,6,45,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"937","Mexico",358732.433198381,63,431,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"938","Netherlands",69708.4337152209,37,574,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"939","Nigeria",21600.04,6,44,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"940","Philippines",11036.5712250712,110,592,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"941","Poland",166440.397212544,34,253,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"942","Russia",834350.628899836,74,535,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"943","Slovakia",183506.340425532,5,42,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"944","South Africa",936963.884615385,29,153,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"945","South Korea",377732.70977918,181,770,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"946","Spain",519514.463392857,150,970,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"947","Sweden",200435.246987952,90,408,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"948","Tunisia",714.285714285714,1,13,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"949","Turkey",239944.548295455,68,284,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"950","Ukraine",289352.47,15,85,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"951","United Kingdom",1496293.43582704,533,2381,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"952","United States of America",2223976.84860624,3254,8728,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"953","Argentina",135584.590643275,70,443,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"954","Australia",1139590.29596413,140,529,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"955","Brazil",368178.274867122,89,1228,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"956","Bulgaria",1940223.24691358,9,72,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"957","Canada",1576406.07352234,565,1516,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"958","Czech Republic",442268.618243243,24,272,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"959","France",595447.064901156,213,2468,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"960","Germany",187527.304303626,329,2622,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"961","Greece",106367.875647668,13,180,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"962","Hungary",735550.237179487,17,139,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"963","India",741780.788833859,691,1530,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"964","Indonesia",102773.857855362,98,303,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"965","Israel",63675.1828571429,10,165,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"966","Italy",201833.538461538,101,692,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"967","Japan",299509.9872579,438,1524,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"968","Kenya",0.764705882352941,1,16,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"969","Lebanon",0,1,48,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"970","Lithuania",23594.1176470588,6,45,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"971","Mexico",358732.433198381,63,431,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"972","Netherlands",69708.4337152209,37,574,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"973","Nigeria",21600.04,6,44,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"974","Philippines",11036.5712250712,110,592,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"975","Poland",166440.397212544,34,253,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"976","Russia",834350.628899836,74,535,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"977","Slovakia",183506.340425532,5,42,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"978","South Africa",936963.884615385,29,153,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"979","South Korea",377732.70977918,181,770,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"980","Spain",519514.463392857,150,970,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"981","Sweden",200435.246987952,90,408,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"982","Tunisia",714.285714285714,1,13,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"983","Turkey",239944.548295455,68,284,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"984","Ukraine",289352.47,15,85,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"985","United Kingdom",1496293.43582704,533,2381,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"986","United States of America",2223976.84860624,3254,8728,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"987","Argentina",135584.590643275,70,443,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"988","Australia",1139590.29596413,140,529,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"989","Brazil",368178.274867122,89,1228,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"990","Bulgaria",1940223.24691358,9,72,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"991","Canada",1576406.07352234,565,1516,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"992","Czech Republic",442268.618243243,24,272,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"993","France",595447.064901156,213,2468,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"994","Germany",187527.304303626,329,2622,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"995","Greece",106367.875647668,13,180,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"996","Hungary",735550.237179487,17,139,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"997","India",741780.788833859,691,1530,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"998","Indonesia",102773.857855362,98,303,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"999","Israel",63675.1828571429,10,165,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1000","Italy",201833.538461538,101,692,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1001","Japan",299509.9872579,438,1524,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1002","Kenya",0.764705882352941,1,16,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1003","Lebanon",0,1,48,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1004","Lithuania",23594.1176470588,6,45,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1005","Mexico",358732.433198381,63,431,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1006","Netherlands",69708.4337152209,37,574,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1007","Nigeria",21600.04,6,44,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1008","Philippines",11036.5712250712,110,592,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1009","Poland",166440.397212544,34,253,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1010","Russia",834350.628899836,74,535,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1011","Slovakia",183506.340425532,5,42,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1012","South Africa",936963.884615385,29,153,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1013","South Korea",377732.70977918,181,770,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1014","Spain",519514.463392857,150,970,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1015","Sweden",200435.246987952,90,408,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1016","Tunisia",714.285714285714,1,13,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1017","Turkey",239944.548295455,68,284,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1018","Ukraine",289352.47,15,85,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1019","United Kingdom",1496293.43582704,533,2381,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1020","United States of America",2223976.84860624,3254,8728,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1021","Argentina",135584.590643275,70,443,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1022","Australia",1139590.29596413,140,529,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1023","Brazil",368178.274867122,89,1228,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1024","Bulgaria",1940223.24691358,9,72,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1025","Canada",1576406.07352234,565,1516,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1026","Czech Republic",442268.618243243,24,272,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1027","France",595447.064901156,213,2468,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1028","Germany",187527.304303626,329,2622,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1029","Greece",106367.875647668,13,180,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1030","Hungary",735550.237179487,17,139,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1031","India",741780.788833859,691,1530,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1032","Indonesia",102773.857855362,98,303,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1033","Israel",63675.1828571429,10,165,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1034","Italy",201833.538461538,101,692,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1035","Japan",299509.9872579,438,1524,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1036","Kenya",0.764705882352941,1,16,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1037","Lebanon",0,1,48,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1038","Lithuania",23594.1176470588,6,45,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1039","Mexico",358732.433198381,63,431,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1040","Netherlands",69708.4337152209,37,574,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1041","Nigeria",21600.04,6,44,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1042","Philippines",11036.5712250712,110,592,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1043","Poland",166440.397212544,34,253,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1044","Russia",834350.628899836,74,535,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1045","Slovakia",183506.340425532,5,42,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1046","South Africa",936963.884615385,29,153,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1047","South Korea",377732.70977918,181,770,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1048","Spain",519514.463392857,150,970,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1049","Sweden",200435.246987952,90,408,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1050","Tunisia",714.285714285714,1,13,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1051","Turkey",239944.548295455,68,284,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1052","Ukraine",289352.47,15,85,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"1053","United Kingdom",1496293.43582704,533,2381,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1054","United States of America",2223976.84860624,3254,8728,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"1055","Argentina",135584.590643275,70,443,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1056","Australia",1139590.29596413,140,529,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1057","Brazil",368178.274867122,89,1228,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1058","Bulgaria",1940223.24691358,9,72,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1059","Canada",1576406.07352234,565,1516,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1060","Czech Republic",442268.618243243,24,272,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1061","France",595447.064901156,213,2468,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1062","Germany",187527.304303626,329,2622,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1063","Greece",106367.875647668,13,180,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1064","Hungary",735550.237179487,17,139,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1065","India",741780.788833859,691,1530,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1066","Indonesia",102773.857855362,98,303,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1067","Israel",63675.1828571429,10,165,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1068","Italy",201833.538461538,101,692,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1069","Japan",299509.9872579,438,1524,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1070","Kenya",0.764705882352941,1,16,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1071","Lebanon",0,1,48,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1072","Lithuania",23594.1176470588,6,45,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1073","Mexico",358732.433198381,63,431,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1074","Netherlands",69708.4337152209,37,574,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1075","Nigeria",21600.04,6,44,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1076","Philippines",11036.5712250712,110,592,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1077","Poland",166440.397212544,34,253,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1078","Russia",834350.628899836,74,535,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1079","Slovakia",183506.340425532,5,42,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1080","South Africa",936963.884615385,29,153,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1081","South Korea",377732.70977918,181,770,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1082","Spain",519514.463392857,150,970,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1083","Sweden",200435.246987952,90,408,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1084","Tunisia",714.285714285714,1,13,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1085","Turkey",239944.548295455,68,284,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1086","Ukraine",289352.47,15,85,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1087","United Kingdom",1496293.43582704,533,2381,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1088","United States of America",2223976.84860624,3254,8728,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"1089","Argentina",135584.590643275,70,443,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"1090","Australia",1139590.29596413,140,529,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1091","Brazil",368178.274867122,89,1228,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"1092","Bulgaria",1940223.24691358,9,72,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"1093","Canada",1576406.07352234,565,1516,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1094","Czech Republic",442268.618243243,24,272,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1095","France",595447.064901156,213,2468,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1096","Germany",187527.304303626,329,2622,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1097","Greece",106367.875647668,13,180,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1098","Hungary",735550.237179487,17,139,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1099","India",741780.788833859,691,1530,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"1100","Indonesia",102773.857855362,98,303,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"1101","Israel",63675.1828571429,10,165,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1102","Italy",201833.538461538,101,692,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1103","Japan",299509.9872579,438,1524,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1104","Kenya",0.764705882352941,1,16,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"1105","Lebanon",0,1,48,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"1106","Lithuania",23594.1176470588,6,45,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1107","Mexico",358732.433198381,63,431,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"1108","Netherlands",69708.4337152209,37,574,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1109","Nigeria",21600.04,6,44,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"1110","Philippines",11036.5712250712,110,592,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"1111","Poland",166440.397212544,34,253,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1112","Russia",834350.628899836,74,535,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"1113","Slovakia",183506.340425532,5,42,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1114","South Africa",936963.884615385,29,153,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
